DATE,HOUR,AVG_MIN_SPEED,AVG_MAX_SPEED,AVG_AVG_SPEED,AVG_VEHICLE_COUNT,ACCIDENT_COUNT,ACCIDENT_CLASS
2024-01-01,0,29.18384879725086,101.81400343642612,61.064862542955325,43.63874570446736,2,1
2024-01-01,1,31.07330746011212,100.60672703751617,61.526520051746445,38.678740836567485,1,1
2024-01-01,2,32.17080610021787,100.43703703703704,62.50152505446623,28.713289760348584,3,1
2024-01-01,3,33.02063273727648,97.7193947730399,62.421366345712975,24.67262723521321,2,1
2024-01-01,4,32.140063665302414,99.17917235106869,62.44474761255116,24.06593906321055,0,0
2024-01-01,5,32.61401218450827,101.58529155787642,63.32419495213229,37.52393385552654,0,0
2024-01-01,6,29.811023622047244,100.79615048118984,61.663167104111984,41.59142607174103,0,0
2024-01-01,7,29.23599320882852,99.58701188455008,61.20203735144312,50.06621392190153,0,0
2024-01-01,8,28.157850545759867,104.79261125104954,61.57094878253569,45.28547439126784,0,0
2024-01-01,9,28.521132713440405,104.20498732037194,61.63693998309383,38.67328825021133,2,1
2024-01-01,10,27.098609355246523,104.47029077117573,61.80952380952381,46.13063632532659,1,1
2024-01-01,11,27.23212783851977,104.59756097560977,61.17325483599664,53.25147182506308,0,0
2024-01-01,12,29.95046570702794,98.8077900084674,60.729889923793394,35.517358171041494,0,0
2024-01-01,13,26.865546218487395,99.79537815126052,59.13613445378152,56.21428571428572,0,0
2024-01-01,14,23.7256046705588,101.08215179316096,57.62010008340284,78.18098415346122,1,1
2024-01-01,15,23.48747913188648,101.14816360601002,57.06135225375626,81.76669449081803,0,0
2024-01-01,16,23.7482254697286,99.73695198329854,57.36951983298539,80.37995824634656,2,1
2024-01-01,17,24.6436925647452,101.05680868838763,57.6265664160401,80.40267335004177,0,0
2024-01-01,18,23.726125368111063,99.61590239798063,56.479175431215815,74.9145982330669,0,0
2024-01-01,19,24.38555228895422,100.89458210835784,57.97270054598908,70.58966820663586,4,1
2024-01-01,20,25.948008385744235,101.37819706498952,58.94800838574424,68.179035639413,2,1
2024-01-01,21,25.703329119258324,102.19342604298356,59.36788874841972,68.21407501053518,2,1
2024-01-01,22,26.52177554438861,102.58333333333331,59.71608040201005,62.34254606365159,0,0
2024-01-01,23,27.04491525423729,100.61271186440678,60.213135593220336,57.79237288135593,2,1
2024-01-03,0,27.3784355179704,99.12727272727273,59.31247357293869,52.00718816067653,0,0
2024-01-03,1,28.65672287073065,99.4483354950281,59.92477302204929,38.85689580631215,0,0
2024-01-03,2,31.221089942401417,96.254762959681,60.01506424457244,24.38856889676562,0,0
2024-01-03,3,30.4360625574977,92.64489420423185,58.98482060717571,19.97930082796688,0,0
2024-01-03,4,28.379028597367228,95.88833408987745,58.97458011802088,31.54879709487064,0,0
2024-01-03,5,24.71163793103448,100.65646551724136,57.68103448275862,67.525,0,0
2024-01-03,6,30.605577689243027,91.332005312085,57.8415227976981,32.79991146525011,0,0
2024-01-03,7,25.862462970799832,91.55311045281422,53.94879390605163,62.502750740584005,1,1
2024-01-03,8,23.86703020134228,93.619966442953,53.17114093959732,79.75335570469798,1,1
2024-01-03,9,23.58640939597316,96.2395134228188,54.500838926174495,84.2369966442953,2,1
2024-01-03,10,23.89937369519833,95.62421711899792,54.906471816283926,78.27640918580376,2,1
2024-01-03,11,24.057346169945586,95.6366680619506,54.73126831310172,77.15320217664295,2,1
2024-01-03,12,25.06784660766961,94.19384745048464,54.78171091445428,64.79856721449642,2,1
2024-01-03,13,25.98310810810811,92.64907094594597,54.67356418918919,51.81883445945946,0,0
2024-01-03,14,25.29709228824273,93.64180362410453,54.3181626632954,65.22081753055204,2,1
2024-01-03,15,24.514249790444257,93.94383906119027,53.652975691533946,68.57082984073763,1,1
2024-01-03,16,24.343025705857563,93.02570585756426,53.22798145806996,67.55246523388116,1,1
2024-01-03,17,24.55677501055297,91.3427606585057,52.64035457999156,67.12325875897002,4,1
2024-01-03,18,23.600335852225022,90.82913518052057,51.32241813602016,81.13140218303947,1,1
2024-01-03,19,21.592669720949605,97.2082465639317,53.06538942107455,123.88088296543108,2,1
2024-01-03,20,22.805625524769106,100.11376994122584,55.85474391267842,98.17338371116708,2,1
2024-01-03,21,23.241739857800084,102.857800083647,57.32245922208281,91.00710999581764,0,0
2024-01-03,22,25.11373209772536,100.11962931760742,57.79738837405223,69.53538331929234,1,1
2024-01-03,23,24.7824989482541,100.57341186369374,58.14009255363904,69.18973496003366,2,1
2024-01-04,0,26.92523364485981,99.26550552251489,59.08963466440102,53.25955819881054,0,0
2024-01-04,1,28.627796901893287,97.8080895008606,58.99698795180723,36.71944922547332,0,0
2024-01-04,2,29.12999112688553,96.92502218278617,58.87755102040816,27.84294587400177,0,0
2024-01-04,3,30.23656387665198,95.06211453744493,59.380176211453744,23.744933920704845,0,0
2024-01-04,4,29.89562140645732,97.44803184431667,59.82618310482088,29.8562582927908,0,0
2024-01-04,5,26.93952299829642,100.57155025553662,59.24659284497445,67.43739352640546,0,0
2024-01-04,6,23.49538203190596,101.607892527288,57.6007556675063,147.12762384550797,0,0
2024-01-04,7,23.521299029945173,97.02024462252214,55.14761703922396,111.1830451286377,2,1
2024-01-04,8,23.336145086461407,95.8287642345002,53.491353859131166,90.40615773935048,2,1
2024-01-04,9,24.248324958123952,95.3358458961474,54.13149078726968,70.64154103852596,2,1
2024-01-04,10,26.398377455166525,90.3791631084543,54.02988898377456,43.77711357813834,4,1
2024-01-04,11,24.47983193277311,95.34957983193276,54.54327731092437,69.26428571428572,2,1
